Date_Time,open,close,low,high,volume
2013-09-01 17:00:00,1640.25,1640.25,1639.0,1641.0,5813
2013-09-01 17:05:00,1640.0,1640.5,1640.0,1641.0,1281
2013-09-01 17:10:00,1640.5,1640.5,1640.25,1642.0,3517
2013-09-01 17:15:00,1640.25,1640.75,1639.5,1640.75,1280
2013-09-01 17:20:00,1640.75,1640.5,1639.75,1641.25,1512
2013-09-01 17:25:00,1640.5,1640.25,1639.75,1641.0,1157
2013-09-01 17:30:00,1640.5,1641.5,1640.0,1642.0,801
2013-09-01 17:35:00,1641.25,1641.25,1641.25,1642.0,1379
2013-09-01 17:40:00,1641.5,1641.25,1640.5,1641.75,1124
2013-09-01 17:45:00,1641.25,1641.75,1641.25,1642.0,1280
2013-09-01 17:50:00,1641.5,1641.25,1641.0,1641.75,249
2013-09-01 17:55:00,1641.25,1641.75,1641.25,1642.0,395
2013-09-01 18:00:00,1641.75,1641.75,1641.5,1641.75,107
2013-09-01 18:05:00,1641.5,1641.25,1640.75,1641.75,1001
2013-09-01 18:10:00,1641.0,1641.0,1640.5,1641.0,507
2013-09-01 18:15:00,1641.0,1641.25,1640.5,1641.25,522
2013-09-01 18:20:00,1641.0,1641.25,1640.75,1641.25,102
2013-09-01 18:25:00,1641.0,1640.75,1640.75,1641.0,63
2013-09-01 18:30:00,1640.75,1640.75,1640.75,1641.0,34
2013-09-01 18:35:00,1640.75,1641.0,1640.75,1641.25,135
2013-09-01 18:40:00,1640.75,1640.75,1640.5,1640.75,51
2013-09-01 18:45:00,1640.75,1640.25,1640.25,1640.75,403
2013-09-01 18:50:00,1640.25,1640.25,1640.0,1640.5,427
2013-09-01 18:55:00,1640.5,1640.25,1640.25,1640.75,317
2013-09-01 19:00:00,1640.5,1640.25,1640.25,1640.5,251
2013-09-01 19:05:00,1640.0,1640.5,1639.75,1640.75,863
2013-09-01 19:10:00,1640.75,1641.25,1640.5,1641.5,806
2013-09-01 19:15:00,1641.0,1641.5,1641.0,1641.75,626
2013-09-01 19:20:00,1641.5,1641.5,1641.5,1642.0,650
2013-09-01 19:25:00,1641.5,1641.5,1641.25,1641.75,937
2013-09-01 19:30:00,1641.5,1641.75,1641.25,1642.0,601
2013-09-01 19:35:00,1641.75,1641.75,1641.5,1641.75,136
2013-09-01 19:40:00,1641.75,1642.0,1641.5,1642.0,342
2013-09-01 19:45:00,1641.75,1642.25,1641.5,1642.75,1624
2013-09-01 19:50:00,1642.25,1642.5,1642.0,1642.75,1353
2013-09-01 19:55:00,1642.5,1642.5,1642.25,1643.5,2325
2013-09-01 20:00:00,1642.5,1641.75,1641.75,1642.75,1307
2013-09-01 20:05:00,1641.75,1642.0,1641.75,1642.0,348
2013-09-01 20:10:00,1642.25,1642.0,1641.75,1642.5,569
2013-09-01 20:15:00,1641.75,1642.25,1641.75,1642.5,472
2013-09-01 20:20:00,1642.25,1642.25,1642.0,1642.5,405
2013-09-01 20:25:00,1642.25,1642.25,1642.0,1642.5,384
2013-09-01 20:30:00,1642.25,1642.5,1642.0,1642.75,294
2013-09-01 20:35:00,1642.25,1642.25,1642.25,1642.5,560
2013-09-01 20:40:00,1642.25,1642.25,1642.0,1642.5,164
2013-09-01 20:45:00,1642.25,1642.75,1642.0,1642.75,662
2013-09-01 20:50:00,1642.75,1642.75,1642.5,1642.75,223
2013-09-01 20:55:00,1642.75,1642.5,1642.25,1642.75,305
2013-09-01 21:00:00,1642.5,1641.75,1641.75,1642.75,643
2013-09-01 21:05:00,1641.75,1642.0,1641.5,1642.25,957
2013-09-01 21:10:00,1642.0,1641.75,1641.75,1642.0,286
2013-09-01 21:15:00,1641.75,1641.5,1641.5,1641.75,63
2013-09-01 21:20:00,1641.75,1642.0,1641.5,1642.25,220
2013-09-01 21:25:00,1642.0,1641.5,1641.5,1642.0,174
2013-09-01 21:30:00,1641.75,1641.0,1640.75,1641.75,601
2013-09-01 21:35:00,1641.0,1640.75,1640.25,1641.0,646
2013-09-01 21:40:00,1640.75,1641.0,1640.25,1641.0,263
2013-09-01 21:45:00,1641.0,1641.0,1640.75,1641.0,152
2013-09-01 21:50:00,1641.0,1640.75,1640.75,1641.0,237
2013-09-01 21:55:00,1640.75,1641.0,1640.5,1641.0,152
2013-09-01 22:00:00,1640.75,1641.0,1640.75,1641.0,97
2013-09-01 22:05:00,1640.75,1641.0,1640.75,1641.25,126
2013-09-01 22:10:00,1641.25,1641.25,1641.25,1641.5,110
2013-09-01 22:15:00,1641.25,1641.75,1641.25,1641.75,324
2013-09-01 22:20:00,1641.75,1641.75,1641.75,1642.0,222
2013-09-01 22:25:00,1641.75,1642.0,1641.75,1642.25,173
2013-09-01 22:30:00,1642.0,1642.5,1642.0,1642.75,341
2013-09-01 22:35:00,1642.75,1642.75,1642.5,1643.0,163
2013-09-01 22:40:00,1642.75,1642.75,1642.25,1642.75,607
2013-09-01 22:45:00,1643.0,1642.5,1642.5,1643.25,439
2013-09-01 22:50:00,1642.5,1642.5,1642.5,1642.75,347
2013-09-01 22:55:00,1642.5,1642.5,1642.5,1642.75,50
2013-09-01 23:00:00,1642.5,1643.5,1642.5,1643.75,859
